CustomerID,SaleDate,SaleNum,Code, Item Description,Quantity,UnitPrice,Country
12346,1/18/2011 10:01,541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1.04,United Kingdom
12347,10/31/2011 12:25,573511,84992,72 SWEETHEART FAIRY CAKE CASES,24,0.55,Iceland
12352,9/20/2011 14:34,567505,21314,SMALL GLASS HEART TRINKET POT,8,2.1,Norway
12354,4/21/2011 13:11,550911,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,4.15,Spain
12354,4/21/2011 13:11,550911,22668,PINK BABY BUNTING,5,2.95,Spain
12354,4/21/2011 13:11,550911,22215,CAKE STAND WHITE TWO TIER LACE,2,8.5,Spain
12357,11/6/2011 16:07,574740,22728,ALARM CLOCK BAKELIKE PINK,8,3.75,Switzerland
12357,11/6/2011 16:07,574740,72783,BLACK SIL'T SQU CANDLE PLATE ,12,2.1,Switzerland
12358,12/8/2011 10:26,581232,20679,EDWARDIAN PARASOL RED,24,5.95,Austria
12359,6/3/2011 12:26,555477,21843,RED RETROSPOT CAKE STAND,2,10.95,Cyprus
12359,2/7/2011 14:51,543370,21756,BATH BUILDING BLOCK WORD,3,5.95,Cyprus
12362,9/28/2011 12:04,568651,22449,SILK PURSE BABUSHKA PINK,6,3.35,Belgium
12362,2/17/2011 10:30,544203,84569A,PACK 3 IRON ON DOG PATCHES,12,1.25,Belgium
12364,12/2/2011 10:22,580152,22708,WRAP DOLLY GIRL,25,0.42,Belgium
12364,10/30/2011 15:43,573401,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,12,1.69,Belgium
12370,10/19/2011 14:51,571905,22779,WOODEN OWLS LIGHT GARLAND ,4,4.25,Cyprus
12372,2/16/2011 12:46,544157,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2.95,Denmark
12378,8/2/2011 10:34,562046,21245,GREEN POLKADOT PLATE ,8,1.69,Switzerland
12378,8/2/2011 10:34,562046,23256,CHILDRENS CUTLERY SPACEBOY ,4,4.15,Switzerland
12379,6/22/2011 16:32,557789,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2.55,Belgium
12381,11/6/2011 13:36,574694,22941,CHRISTMAS LIGHTS 10 REINDEER,8,8.5,Norway
12383,1/12/2011 14:10,540971,84375,SET OF 20 KIDS COOKIE CUTTERS,24,2.1,Belgium
12383,12/22/2010 14:28,539840,21988,PACK OF 6 SKULL PAPER PLATES,12,0.85,Belgium
