Member_number,Date,itemDescription,Quality
1808,21-07-2015,tropical fruit,1
2552,05-01-2015,whole milk,1
2300,19-09-2015,pip fruit,1
1187,12-12-2015,other vegetables,1
3037,01-02-2015,whole milk,1
4941,14-02-2015,rolls/buns,1
4501,08-05-2015,other vegetables,1
3803,23-12-2015,pot plants,1
2762,20-03-2015,whole milk,1
4119,12-02-2015,tropical fruit,1
1340,24-02-2015,citrus fruit,1
2193,14-04-2015,beef,1
1997,21-07-2015,frankfurter,1
4546,03-09-2015,chicken,1
4736,21-07-2015,butter,1
1959,30-03-2015,fruit/vegetable juice,1
1974,03-05-2015,packaged fruit/vegetables,1
2421,02-09-2015,chocolate,1
1513,03-08-2015,specialty bar,1
1905,07-07-2015,other vegetables,1
2810,08-09-2015,butter milk,1
2867,12-11-2015,whole milk,1
3962,18-09-2015,tropical fruit,1
1088,30-11-2015,tropical fruit,1
4976,17-07-2015,bottled water,1
4056,12-06-2015,yogurt,1
3611,13-02-2015,sausage,1
1420,14-01-2015,other vegetables,1
4286,08-03-2015,brown bread,1
4918,27-01-2015,yogurt,1
4783,22-10-2015,hamburger meat,1
3709,26-10-2015,root vegetables,1
4289,08-10-2015,pork,1
1559,03-10-2015,beef,1
2900,11-04-2015,pastry,1
1905,21-02-2015,fruit/vegetable juice,1
3527,29-09-2015,canned beer,1
1495,09-01-2015,root vegetables,1
3558,03-04-2015,citrus fruit,1
3128,20-04-2015,sausage,1
1863,04-08-2015,tropical fruit,1
3841,19-07-2015,berries,1
3903,06-10-2015,canned beer,1
2658,16-10-2015,butter milk,1
4272,06-06-2015,coffee,1
1120,26-09-2015,pastry,1
2676,15-08-2015,rolls/buns,1
1697,21-05-2015,misc. beverages,1
2507,25-08-2015,root vegetables,1
4620,11-03-2015,sausage,1
3365,01-02-2015,canned beer,1
2978,05-06-2015,ham,1
2910,28-07-2015,turkey,1
1061,05-09-2015,whole milk,1
3276,03-04-2015,whole milk,1
1326,19-06-2015,packaged fruit/vegetables,1
3023,28-07-2015,rolls/buns,1
2185,11-10-2015,ham,1
3552,16-06-2015,rolls/buns,1
1967,20-01-2015,other vegetables,1
4708,20-03-2015,sausage,1
2874,15-02-2015,sausage,1
4177,13-04-2015,frankfurter,1
1663,07-02-2015,rolls/buns,1
2632,02-03-2015,whole milk,1
1377,14-03-2015,curd cheese,1
4162,22-12-2015,red/blush wine,1
2270,01-07-2015,sausage,1
4829,03-11-2015,tropical fruit,1
