UID,Prod_output_num,click_on_prod,locations,gender,age,balance,registry_to_use_time,credit_card_paid,active_member,estimated_salary,buy
0,2,619,Taipei,Female,42,0,4,1,0,101348.88,1
1,1,608,Tainan,Female,41,83807.86,4,0,0,112542.58,0
2,8,502,Taipei,Female,42,159660.8,2,1,1,113931.57,1
3,1,699,Taipei,Female,39,0,3,0,1,93826.63,0
4,2,850,Tainan,Female,43,125510.82,4,1,0,79084.1,0
5,8,645,Tainan,Male,44,113755.78,3,1,1,149756.71,1
6,7,822,Taipei,Male,50,0,3,1,0,10062.8,0
7,4,376,Taichung,Female,29,115046.74,1,1,1,119346.88,1
8,4,501,Taipei,Male,44,142051.07,3,0,0,74940.5,0
9,2,684,Taipei,Male,27,134603.88,4,1,0,71725.73,0
10,6,528,Taipei,Male,31,102016.72,3,0,1,80181.12,0
11,3,497,Tainan,Male,24,0,3,1,1,76390.01,0
12,10,476,Taipei,Female,34,0,3,1,1,26260.98,0
13,5,549,Taipei,Female,25,0,3,0,1,190857.79,0
14,7,635,Tainan,Female,35,0,3,1,0,65951.65,0
15,3,616,Taichung,Male,45,143129.41,3,0,0,64327.26,0
16,1,653,Taichung,Male,58,132602.88,4,1,1,5097.67,1
17,9,549,Tainan,Female,24,0,3,1,0,14406.41,0
18,6,587,Tainan,Male,45,0,4,0,1,158684.81,0
19,6,726,Taipei,Female,24,0,3,1,0,54724.03,0
20,8,732,Taipei,Male,41,0,3,1,0,170886.17,0
21,8,636,Tainan,Female,32,0,3,1,1,138555.46,0
22,4,510,Tainan,Female,38,0,4,1,1,118913.53,1
23,3,669,Taipei,Male,46,0,3,0,0,8487.75,0
24,5,846,Taipei,Female,38,0,4,1,0,187616.16,0
25,3,577,Taipei,Male,25,0,3,0,0,124508.29,0
26,2,756,Taichung,Male,36,136815.64,4,1,0,170041.95,0
27,9,571,Taipei,Male,44,0,3,0,1,38433.35,0
28,3,574,Taichung,Female,43,141349.43,4,1,0,100187.43,0
29,0,411,Taipei,Male,29,59697.17,3,1,0,53483.21,0
30,3,591,Tainan,Female,39,0,2,1,1,140469.38,1
31,7,533,Taipei,Male,36,85311.7,4,0,0,156731.91,0
32,9,553,Taichung,Male,41,110112.54,3,0,1,81898.81,0
33,6,520,Tainan,Female,42,0,3,1,0,34410.55,0
34,9,722,Tainan,Female,29,0,3,1,0,142033.07,0
35,0,475,Taipei,Female,45,134264.04,4,1,1,27822.99,1
36,3,490,Tainan,Male,31,145260.23,4,0,0,114066.77,0
37,7,804,Tainan,Male,33,76548.6,4,0,0,98453.45,0
38,7,850,Taipei,Male,36,0,4,1,0,40812.9,0
39,6,582,Taichung,Male,41,70349.48,3,0,0,178074.04,0
40,4,472,Tainan,Male,40,0,4,1,1,70154.22,0
41,8,465,Taipei,Female,51,122522.32,4,0,1,181297.65,1
42,2,556,Taipei,Female,61,117419.35,4,1,0,94153.83,0
43,2,834,Taipei,Female,49,131394.56,4,0,1,194365.76,1
44,5,660,Tainan,Female,61,155931.11,4,1,0,158338.39,0
45,4,776,Taichung,Female,32,109421.13,3,1,0,126517.46,0
