,TRANSACTION_DT,CUSTOMER_ID,AGE_GROUP,PIN_CODE,PRODUCT_SUBCLASS,PRODUCT_ID,AMOUNT,ASSET,SALES_PRICE
0,1/7/2001,235419,30-34,115,110105,4710198221113,1,25,29
1,2/13/2001,1550900,35-39,115,590312,4710735405006,1,103,119
2,2/26/2001,909228,>65,115,110411,4710088414120,2,48,66
3,11/18/2000,1380231,30-34,221,130401,4710057870391,1,71,81
4,12/1/2000,1695595,45-49,221,530110,4710186161209,2,152,198
5,1/14/2001,1835489,35-39,221,501001,4718176270498,3,105,147
6,2/15/2001,2120904,30-34,221,100113,4710085185283,2,28,36
7,1/15/2001,1531084,25-29,115,520201,4719230995555,1,42,59
8,11/5/2000,2002491,35-39,221,100323,4715874000150,1,34,42
9,2/14/2001,613156,55-59,115,500210,4710114105046,1,123,129
10,11/22/2000,233262,55-59,115,100201,4710174003443,1,20,25
11,12/11/2000,994620,,115,300716,4714284007476,1,40,49
12,2/21/2001,1804089,<25,Others,130315,4714981010038,2,50,26
13,1/27/2001,1887914,25-29,221,130206,20307585,1,112,128
14,2/15/2001,1549720,35-39,221,321304,20543693,2,136,192
15,11/9/2000,2132563,30-34,221,110411,4710088414243,1,20,24
16,2/8/2001,419826,50-54,110,520328,4710017008147,1,20,28
17,12/30/2000,326919,30-34,221,130102,4710105002019,1,11,14
18,2/3/2001,2023939,<25,Unknown,110119,4711258002505,1,61,71
19,2/4/2001,1663204,25-29,110,110124,4711701250446,1,44,55
20,1/27/2001,1103076,30-34,115,100102,4710721851114,1,13,18
21,11/2/2000,1185133,25-29,115,110402,4710088414311,1,53,63
22,1/27/2001,2157405,25-29,Others,530112,4710094020575,1,51,63
23,2/26/2001,2176864,<25,221,100407,4710043100051,1,77,89
24,2/12/2001,413497,25-29,115,570308,4716114005454,1,34,49
25,12/15/2000,2000756,35-39,110,110122,78895730074,1,60,75
26,11/20/2000,1747904,25-29,110,100202,4710247006791,1,49,55
27,2/25/2001,1853025,25-29,Others,510527,4714499840011,2,56,90
28,11/24/2000,315661,35-39,221,100105,4713384002091,2,116,145
29,2/10/2001,593625,40-44,221,110508,9300644131773,2,70,78
30,11/16/2000,1735406,25-29,221,130106,4710583110015,1,18,20
31,2/11/2001,47364,35-39,221,500303,4710367807421,1,25,38
32,11/3/2000,898737,40-44,115,130201,4710105010175,1,45,53
33,11/19/2000,1198454,40-44,115,110117,4710685440362,1,41,49
34,11/28/2000,1458268,35-39,115,100201,4710174003450,1,53,65
35,1/23/2001,1022483,25-29,115,712901,4902704881052,5,90,110
36,12/8/2000,20002000,,Unknown,100203,4710861700259,1,19,24
37,11/9/2000,2086903,50-54,106,100319,4711311217884,1,13,16
38,1/22/2001,919340,40-44,221,130207,4710088432322,1,45,53
39,11/15/2000,1359015,35-39,221,110411,4710110221375,1,20,22
40,1/21/2001,1804355,55-59,115,100405,4710043940411,1,81,98
41,12/6/2000,596602,40-44,221,760117,4717583011731,4,20,32
42,1/10/2001,1188608,35-39,115,500304,4710038850633,4,220,300
43,2/3/2001,220026,60-64,115,130404,4710057830050,1,55,69
44,11/3/2000,1846355,,Unknown,100418,4712959001279,1,68,90
45,1/15/2001,1332292,40-44,221,500202,4710908111116,1,94,80
46,12/17/2000,1707304,40-44,221,110131,4902402376614,2,124,152
47,12/11/2000,1423297,30-34,115,500206,4710114322115,2,156,104
48,1/22/2001,39505,>65,115,500802,4710200740038,1,77,105
49,12/20/2000,63111,55-59,115,530119,4713080626218,5,300,329
50,2/20/2001,2057958,25-29,221,300424,4710363236003,1,62,85
51,2/24/2001,1572391,35-39,106,500202,4710114362029,1,100,115
52,12/29/2000,2168098,40-44,221,530403,4710060000051,1,170,209
53,11/13/2000,1302486,35-39,221,110406,4710515532052,1,20,24
54,12/3/2000,905602,35-39,115,500903,4712076005402,1,25,39
