,ItemRatingReply,UserRatingReply,anonymous,author_name,author_pic,author_portrait,author_shopid,author_username,authorid,cmtid,disputable,editable,editable_date,filter,images,like_count,mentioned,modelid,mtime,opt,preview_items,rating,show_reply,status,tagids,tags,user_pic,username,videos,使用者ID,商品ID,商品規格,是否隱藏,留言內容,留言時間,給星,訂單編號,賣家ID
0,{},{},True,e*****i,35801032123817532df5cebec75cdb4f,35801032123817532df5cebec75cdb4f,33626616.0,e*****i,33626616.0,2842740145,1,1,1600008444.0,0,,,[],0,1597416444,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266636}]",1,,2,,,35801032123817532df5cebec75cdb4f,e*****i,[],33628000,6844948716,['粉紅 L'],False,,1597416444,5,50660234323988,20189220
1,{},{},True,c*****6,35248b04d4dbd4b9f62945966d74580d,35248b04d4dbd4b9f62945966d74580d,91485230.0,c*****6,91485230.0,2841559552,1,1,1599995438.0,0,,,[],0,1597403438,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266646}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266643}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266639}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266634}]",1,,2,"1,2,4","[{'tag_description': '超讚的出貨速度', 'tag_id': 1}, {'tag_description': '超讚的商品品質', 'tag_id': 2}, {'tag_description': '超讚的服務', 'tag_id': 4}]",35248b04d4dbd4b9f62945966d74580d,c*****6,[],91486708,6844948716,"['墨綠 XL', '粉紅 XL', '寶藍 XL', '黝黑 XL']",False,,1597403438,5,50834576082721,20189220
2,{},{},True,l*****2,e28fe5a3eba99a29f36199c24c2bf1a1,e28fe5a3eba99a29f36199c24c2bf1a1,17024245.0,l*****2,17024245.0,2839955521,1,1,1599979352.0,0,,0.0,[],0,1597387352,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266643}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266639}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266634}]",1,,2,"1,2,3","[{'tag_description': '超讚的出貨速度', 'tag_id': 1}, {'tag_description': '超讚的商品品質', 'tag_id': 2}, {'tag_description': '超讚的CP值', 'tag_id': 3}]",e28fe5a3eba99a29f36199c24c2bf1a1,l*****2,[],17025581,6844948716,"['粉紅 XL', '寶藍 XL', '黝黑 XL']",False,,1597387352,5,50686258643930,20189220
3,{},{},True,a*****2,,,6605008.0,a*****2,6605008.0,2837795979,1,1,1599950240.0,3,['70e92542526dd70f00f63c6484f4729f'],,[],0,1597358240,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266650}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266645}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266641}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266636}]",1,,2,,,,a*****2,[],6606322,6844948716,"['寶藍 L', '墨綠 L', '黝黑 L', '粉紅 L']",False,賣家出貨速度超快，商品價格超優惠，包裝用心，值得推薦的好賣家,1597358240,5,50766443000357,20189220
4,{},{},True,s*****p,4fc2ef3274a378768ae32c964f83a32b,4fc2ef3274a378768ae32c964f83a32b,267818028.0,s*****p,267818028.0,2837530047,1,1,1599933036.0,0,,,[],0,1597341036,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266647}]",1,,2,,,4fc2ef3274a378768ae32c964f83a32b,s*****p,[],267821348,6844948716,['黝黑 M'],False,,1597341036,5,50786294000265,20189220
5,{},{},True,v*****4,,,35144019.0,v*****4,35144019.0,2837395175,1,1,1599928581.0,0,,,[],0,1597336581,2,"[{'itemid': 7036228775, 'snapshotid': 1981953307, 'modelid': 18919328152}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266647}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266638}]",1,,2,,,,v*****4,[],35145403,6844948716,"['黝黑 M', '寶藍 M']",False,,1597336581,5,50842547174908,20189220
6,{},{},True,p*****u,596cc1d948a46e36f70c418790c72d40,596cc1d948a46e36f70c418790c72d40,279598765.0,p*****u,279598765.0,2831049824,1,1,1599837694.0,0,,,[],0,1597245694,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266635}]",1,,2,"5,8","[{'tag_description': '良好的出貨速度', 'tag_id': 5}, {'tag_description': '良好的服務', 'tag_id': 8}]",596cc1d948a46e36f70c418790c72d40,p*****u,[],279604333,6844948716,['粉紅 M'],False,,1597245694,4,50686705289006,20189220
7,{},{},True,k*****1,552baec0d48f183df4e8c750e9309b86,552baec0d48f183df4e8c750e9309b86,76028709.0,k*****1,76028709.0,2830856651,1,1,1599835227.0,0,,,[],0,1597243227,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266647}]",1,,2,2,"[{'tag_description': '超讚的商品品質', 'tag_id': 2}]",552baec0d48f183df4e8c750e9309b86,k*****1,[],76030181,6844948716,['黝黑 M'],False,,1597243227,5,50671381288672,20189220
8,{},{},True,j*****u,0598b80a22d46ef3c2da8d16a832b4d5,0598b80a22d46ef3c2da8d16a832b4d5,79262639.0,j*****u,79262639.0,2830397675,1,1,1599830300.0,0,,,[],0,1597238300,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266638}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266633}]",1,,2,1,"[{'tag_description': '超讚的出貨速度', 'tag_id': 1}]",0598b80a22d46ef3c2da8d16a832b4d5,j*****u,[],79264113,6844948716,"['寶藍 M', '墨綠 M']",False,,1597238300,5,50679536353651,20189220
9,{},{},True,n*****a,0a07031799ecb6e73d5c0f566d0232b8,0a07031799ecb6e73d5c0f566d0232b8,103844613.0,n*****a,103844613.0,2829287953,1,1,1599820679.0,0,,,[],0,1597228679,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266641}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266639}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266636}]",1,,2,,,0a07031799ecb6e73d5c0f566d0232b8,n*****a,[],103846092,6844948716,"['黝黑 L', '寶藍 XL', '粉紅 L']",False,,1597228679,5,50547166358132,20189220
10,{},{},True,d*****1,,,29134572.0,d*****1,29134572.0,2816445805,1,1,1599644978.0,0,,,[],0,1597052978,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266650}]",1,,2,"2,1","[{'tag_description': '超讚的出貨速度', 'tag_id': 1}, {'tag_description': '超讚的商品品質', 'tag_id': 2}]",,d*****1,[],29135956,6844948716,['寶藍 L'],False,,1597052978,5,50477585634121,20189220
11,{},{},True,l*****a,,,37677682.0,l*****a,37677682.0,2813785154,1,1,1599618965.0,0,,,[],0,1597026965,2,"[{'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266650}, {'itemid': 6844948716, 'snapshotid': 1979952589, 'modelid': 60496266645}]",1,,2,,,,l*****a,[],37679067,6844948716,"['寶藍 L', '墨綠 L']",False,,1597026965,5,50428027324948,20189220
12,{},{},True,a*****8,1dd004ef1fb8c39fb0708f99da1c3ec2,1dd004ef1fb8c39fb0708f99da1c3ec2,7509121.0,a*****8,7509121.0,2807519334,1,1,1599486248.0,0,,,[],0,1596894248,2,"[{'itemid': 6844948716, 'snapshotid': 1978260473, 'modelid': 60496266650}, {'itemid': 6844948716, 'snapshotid': 1978260473, 'modelid': 60496266641}]",1,,2,,,1dd004ef1fb8c39fb0708f99da1c3ec2,a*****8,[],7510414,6844948716,"['寶藍 L', '黝黑 L']",False,,1596894248,5,50309332290905,20189220
0,{},{},True,j*****5,,,37730458.0,j*****5,37730458.0,2834713965,1,1,1599900393.0,0,,,[],0,1597308393,2,"[{'itemid': 5215849945, 'snapshotid': 1983332672, 'modelid': 15876056598}, {'itemid': 5215849945, 'snapshotid': 1983332672, 'modelid': 15876056578}]",1,,2,,,,j*****5,[],37731843,5215849945,"['↗新款↗背心灰綠,M', '鉑金款-黑色,M']",False,,1597308393,5,50662427112603,8974669
1,{},{},True,h*****a,7e118665291d45d932c690b1b0db7c84,7e118665291d45d932c690b1b0db7c84,501937.0,h*****a,501937.0,2833414775,1,1,1599888173.0,0,,,[],0,1597296173,2,"[{'itemid': 5215849945, 'snapshotid': 1983332672, 'modelid': 15876056599}, {'itemid': 5215849945, 'snapshotid': 1983332672, 'modelid': 15876056595}]",1,,2,,,7e118665291d45d932c690b1b0db7c84,h*****a,[],502097,5215849945,"['↗新款↗背心灰綠,L', '↗新款↗吊帶卡其,XL']",False,,1597296173,5,50602801203496,8974669
2,{},{},True,b*****e,68cd6ef9f2d278899b638b2c6c74f48f,68cd6ef9f2d278899b638b2c6c74f48f,13801428.0,b*****e,13801428.0,2832920893,1,1,1599883352.0,0,,,[],0,1597291352,2,"[{'itemid': 5215849945, 'snapshotid': 1931958785, 'modelid': 15876056566}]",1,,2,1,"[{'tag_description': '超讚的出貨速度', 'tag_id': 1}]",68cd6ef9f2d278899b638b2c6c74f48f,b*****e,[],13802732,5215849945,"['停產↗吊帶款-灰↗,XXL']",False,,1597291352,5,50396351601674,8974669
3,{},{},True,h*****g,,,76747302.0,h*****g,76747302.0,2830007447,1,1,1599826626.0,0,,,[],0,1597234626,2,"[{'itemid': 5215849945, 'snapshotid': 1983332672, 'modelid': 15876056592}]",1,,2,,,,h*****g,[],76748774,5215849945,"['↗新款↗吊帶卡其,S']",False,,1597234626,5,50653853028343,8974669
4,{},{},True,m*****0,b87b82ebad2918b4cd616c87fc7cea77,b87b82ebad2918b4cd616c87fc7cea77,7030086.0,m*****0,7030086.0,2822748442,1,1,1599729762.0,0,,,[],0,1597137762,2,"[{'itemid': 5215849945, 'snapshotid': 1983332672, 'modelid': 15876056558}]",1,,2,"1,2,3","[{'tag_description': '超讚的出貨速度', 'tag_id': 1}, {'tag_description': '超讚的商品品質', 'tag_id': 2}, {'tag_description': '超讚的CP值', 'tag_id': 3}]",b87b82ebad2918b4cd616c87fc7cea77,m*****0,[],7031378,5215849945,"['吊帶款-黑,M']",False,,1597137762,5,50559526699410,8974669
5,{},{},True,h*****7,89fe47a47d10fc243022e15c2289b941,89fe47a47d10fc243022e15c2289b941,3675800.0,h*****7,3675800.0,2819058207,1,1,1599672314.0,0,,,[],0,1597080314,2,"[{'itemid': 5215849945, 'snapshotid': 1931958785, 'modelid': 15876056557}]",1,,2,"1,2","[{'tag_description': '超讚的出貨速度', 'tag_id': 1}, {'tag_description': '超讚的商品品質', 'tag_id': 2}]",89fe47a47d10fc243022e15c2289b941,h*****7,[],3677248,5215849945,"['吊帶款-黑,S']",False,,1597080314,5,50393264606500,8974669
6,{},{},True,n*****9,653fe1a5763e470fc4fb2f4135ed87d0,653fe1a5763e470fc4fb2f4135ed87d0,267068386.0,n*****9,267068386.0,2791818451,1,1,1599235076.0,3,['5b736f3f25c65287c6ec40738e689fe5'],,[],0,1596643076,2,"[{'itemid': 5215849945, 'snapshotid': 1931958785, 'modelid': 15876056586}, {'itemid': 5215849945, 'snapshotid': 1931958785, 'modelid': 15876056581}, {'itemid': 5215849945, 'snapshotid': 1931958785, 'modelid': 15876056571}, {'itemid': 5215849945, 'snapshotid': 1931958785, 'modelid': 15876056561}]",1,,2,,,653fe1a5763e470fc4fb2f4135ed87d0,n*****9,[],267071342,5215849945,"['鉑金款-綠色,XXL', '鉑金款-黑色,XXL', '背心款-黑,XXL', '吊帶款-黑,XXL']",False,超級好穿，從懷孕到生產，買第四次了！很值得,1596643076,5,49785753306949,8974669
7,{},{},True,h*****i,,,61496134.0,h*****i,61496134.0,2643096673,1,0,,0,,,[],0,1594004752,2,"[{'itemid': 5215849945, 'snapshotid': 1917015725, 'modelid': 16635692837}]",1,,2,1,"[{'tag_description': '超讚的出貨速度', 'tag_id': 1}]",,h*****i,[],61497576,5215849945,"['聖誕紅-現貨全尺碼,S']",False,,1594004752,5,47357934168632,8974669
8,{},{},True,s*****0,,,26589589.0,s*****0,26589589.0,2638497233,1,0,,0,,,[],0,1593883589,2,"[{'itemid': 5215849945, 'snapshotid': 1917015725, 'modelid': 15876056558}]",1,,2,"1,2,3,4","[{'tag_description': '超讚的出貨速度', 'tag_id': 1}, {'tag_description': '超讚的商品品質', 'tag_id': 2}, {'tag_description': '超讚的CP值', 'tag_id': 3}, {'tag_description': '超讚的服務', 'tag_id': 4}]",,s*****0,[],26590925,5215849945,"['吊帶款-黑,M']",False,,1593883589,5,47277275532066,8974669
9,{},{},True,c*****8,61090127ff97965653c0a14bd532948a,61090127ff97965653c0a14bd532948a,4837416.0,c*****8,4837416.0,2608211775,1,0,,1,,,[],0,1593318057,2,"[{'itemid': 5215849945, 'snapshotid': 1914757621, 'modelid': 15876056603}]",1,,2,,,61090127ff97965653c0a14bd532948a,c*****8,[],4838706,5215849945,"['↗新款↗背心灰綠,XXL']",False,原廠襯墊設計很棒，左右杯竟有車縫在一起，難怪能集中👍,1593318057,5,46839511499445,8974669
