日 期,NTD/USD
2018-06-26,30.412
2018-06-25,30.403
2018-06-22,30.307
2018-06-21,30.302
2018-06-20,30.17
2018-06-19,30.186
2018-06-15,30.002
2018-06-14,29.938
2018-06-13,29.89
2018-06-12,29.86
2018-06-11,29.821
2018-06-08,29.816
2018-06-07,29.74
2018-06-06,29.738
2018-06-05,29.815
2018-06-04,29.82
2018-06-01,29.864
2018-05-31,29.98
2018-05-30,30.05
2018-05-29,29.988
2018-05-28,29.928
2018-05-25,29.945
2018-05-24,29.93
2018-05-23,29.96
2018-05-22,29.922
2018-05-21,29.992
2018-05-18,29.912
2018-05-17,29.906
2018-05-16,29.892
2018-05-15,29.848
2018-05-14,29.742
2018-05-11,29.773
2018-05-10,29.872
2018-05-09,29.928
2018-05-08,29.783
2018-05-07,29.763
2018-05-04,29.716
2018-05-03,29.742
2018-05-02,29.758
2018-04-30,29.605
2018-04-27,29.636
2018-04-26,29.705
2018-04-25,29.66
2018-04-24,29.616
2018-04-23,29.528
2018-04-20,29.407
2018-04-19,29.34
2018-04-18,29.366
2018-04-17,29.362
2018-04-16,29.425
