關鍵字,TF-IDF
問題,0.06432291786152769
XD,0.045732479173224885
感覺,0.0451375851351992
喜歡,0.03993226230247442
謝謝,0.03167810752486797
運動,0.029075446108505577
建議,0.02848055207047989
寶寶,0.026770231711156032
感謝,0.023870123275780794
QQ,0.021193100104665193
大家,0.021150789396515785
分享,0.021047063576704383
媽媽,0.020375120802379867
台灣,0.020077673783367025
中國,0.0199289502738606
發現,0.01978022676435418
訓練,0.019482779745341332
飲食,0.01866480044305601
身體,0.018367353424043165
po,0.017698097631264266
推薦,0.01740065061225142
醫生,0.01740065061225142
動作,0.016285224290953252
知道,0.01616687080620782
女生,0.015557448466577677
分鐘,0.014797989195889028
影響,0.013980009893603705
大概,0.013658209738243773
教練,0.013236392346071593
專業,0.012790221817552325
Klein,0.012120966024773425
公斤,0.01211891253963736
健身房,0.011964433252309892
參考,0.01182351900576058
Re,0.011377348477241313
重訓,0.011377348477241313
新聞,0.011228624967734892
適合,0.010336283910696357
出現,0.010187560401189934
情況,0.010187560401189934
乳清,0.01001556561362548
狀況,0.0099644751369303
手機,0.009592666363164245
繼續,0.009592666363164245
籃球,0.009592666363164245
健身,0.009538297723844617
厲害,0.009518304608411033
熱量,0.009072134079891766
受傷,0.008849048815632133
習慣,0.008774687060878921
kg,0.008477240041866077
肌肉,0.00825185649189214
舒適,0.008179793022853233
學生,0.008105431268100021
請問,0.008105431268100021
價格,0.008105431268100021
跑步,0.008069665545782354
完全,0.00804057913815619
體重,0.00803106951334681
容易,0.007880215334938325
幫忙,0.007584898984827542
大約,0.007584898984827542
外套,0.00744697459066028
朋友,0.007383217877128231
東西,0.007361813720567908
報名,0.007287451965814698
簡單,0.007213090211061486
加油,0.007176359879969335
考慮,0.007138728456308275
內衣,0.007138728456308275
直接,0.007133763145651106
幫助,0.007064366701555064
強度,0.007064366701555064
大大,0.007028332381091655
老師,0.006990004946801852
求站,0.006990004946801852
辦法,0.006915643192048642
醫院,0.006915643192048642
減脂,0.00684128143729543
嚴重,0.00684128143729543
影片,0.00670990712740161
姿勢,0.006692557927789008
重點,0.006692557927789008
便宜,0.006622422198742513
實際,0.006618196173035796
台北,0.00659447139934283
手術,0.006543834418282586
活動,0.006543834418282586
恭喜,0.00647088982027562
目前,0.006405129440765465
啞鈴,0.006395110908776163
賣家,0.006395110908776163
膝蓋,0.006395110908776163
XDD,0.0062463873992697405
年輕,0.00617202564451653
網路,0.006097663889763318
品質,0.006097663889763318
內容,0.006023302135010107
剛剛,0.006023302135010107
名稱,0.006023302135010107
機會,0.005948940380256896
告訴,0.005948940380256896
攝取,0.005948940380256896
引述,0.0058991175485426555
試試,0.005800216870750474
選擇,0.005800216870750474
確定,0.005800216870750474
目標,0.005725855115997262
擔心,0.005725855115997262
慢慢,0.005704082642407614
準備,0.005651493361244051
平常,0.005591010938283147
低調,0.00557713160649084
兩次,0.00557713160649084
天都,0.005541048275582373
房間,0.005502769851737629
壓力,0.005502769851737629
持續,0.005502769851737629
左右,0.005492633708826174
女友,0.005441000425297546
復健,0.005428408096984417
衣服,0.005413367423357509
推推,0.00540249761794918
回家,0.00539245095549902
尺寸,0.005376262789526452
出門,0.005354046342231206
褲子,0.005354046342231206
體脂,0.005354046342231206
減肥,0.005354046342231206
嘗試,0.005279684587477995
網址,0.005279684587477995
ShoCalvin,0.005205322832724784
休息,0.005192957104010077
標題,0.005130961077971573
PO,0.005130961077971573
XDDD,0.005130961077971573
慢跑,0.005127614250989954
市場,0.005056599323218361
快樂,0.005056599323218361
沒想,0.005056599323218361
正確,0.005056599323218361
進步,0.005056599323218361
男生,0.005054392308328243
健康,0.005047411121250521
保母,0.00498223756846515
想買,0.00498223756846515
