,type,user,content,ipdatetime
0,推,yalisa61037,美美的,02/23 23:52
1,推,wenyu66,真的都很美欸 不能再看了嗚嗚嗚 好想買,02/24 00:23
2,推,sd929598,感覺穿起來會刺刺的,02/24 01:27
3,推,mocc,*\(^o^)/*,02/24 09:23
4,推,Valentine17,樓樓上sd 大 莎露的蕾絲真的穿起來不會刺！這大概也,02/24 12:15
5,→,Valentine17,是為什麼可以賣這麼貴的原因XD,02/24 12:15
6,推,r40296,有了第一套就會有第三套第四套～,02/24 12:42
7,推,pchome0503,符合我要的尺寸 又是華麗的龍袍內衣～,02/24 13:13
8,→,hjkl369,莎露穿起來真的完全不刺，非常親膚，再加上版型很適合我,02/24 15:51
9,→,hjkl369,，所以覺得錢花得值得,02/24 15:51
10,推,sodahaini,粉色的好美好春天,02/24 22:21
11,推,alpha6eta,刺繡好美喔，原po穿起來超美。,02/24 22:49
12,→,mavis825,2、3套好美,02/25 10:19
13,推,liberating,這肩帶應該外露也很漂亮 我如果不穿內衣會垂 但夏天,02/25 15:39
14,→,liberating,一來真的想細肩帶直接穿出門,02/25 15:39
15,→,standby,每套都好美!,02/26 11:49
0,推,jd21,很好看 很性福,02/23 15:12
1,推,riesz0505,深色是大辣～～suki大胸型好美好好看！想問如果是上,02/23 16:01
2,→,riesz0505,胸偏無肉的軟奶適合嗎？謝謝！,02/23 16:01
3,推,blueskyj1023,這幾件都好好看~看來要花大錢買了,02/23 17:04
4,推,Valentine17,推推suki大！貝殼杯真的好美,02/23 17:58
5,推,wenyu66,喔天哪真的好美 內衣好美 suki大也好辣 好燒希望有機會,02/23 18:06
6,→,wenyu66,能去日本買QQ 台灣好貴,02/23 18:06
7,推,r40296,本來對46無感，後來看你分享46實穿，直接下單了XD,02/23 18:15
8,推,ki0107k,只能推了 羨慕,02/23 18:22
9,推,smallsun0810,看到sukiya 推就對了,02/23 22:15
10,推,hjkl369,我也超愛莎露的！看來要來研究怎麼從日本購買了,02/23 22:16
11,推,rerun,有夠繽紛,02/23 22:26
12,推,sus304,美，黑色好看,02/23 23:20
13,推,yalisa61037,超美 身材好好,02/23 23:48
14,推,aappllee,46台灣沒有進QQ不然我好喜歡白色那套啊！,02/24 00:46
15,推,ponanchen,這個好看！又性感,02/24 01:03
16,推,purplecircle,太性感了！身材超好,02/24 07:27
17,推,kakukoi,非常性感,02/24 07:28
18,推,kiss377017,漂亮,02/24 10:12
19,推,justin61417,超美 扯爆,02/24 10:48
