,喜歡,文章ID,板名,留言內容,留言時間,發文者ID
0,推,M.1529466409.A.98B,BabyMother,我直接買大件的運動背心，準備穿到生，現在還有兩個,06/20 11:52,eigencat
1,→,M.1529466409.A.98B,BabyMother,月要卸貨，ok的！,06/20 11:52,eigencat
2,推,M.1529466409.A.98B,BabyMother,"14周的時候買了UQ的無鋼圈一直穿到26周都很OK, 後來",06/20 11:55,angelchoco
3,→,M.1529466409.A.98B,BabyMother,"買了哺乳內衣從最內扣開始往外不夠再加延長背釦,但",06/20 11:57,angelchoco
4,→,M.1529466409.A.98B,BabyMother,"其實現在偶爾還是會穿一下UQ,蠻舒服的也不會走山喔",06/20 11:57,angelchoco
5,→,M.1529466409.A.98B,BabyMother,現在已經33週:),06/20 11:58,angelchoco
6,→,M.1529466409.A.98B,BabyMother,我12週買了,06/20 11:59,babarinna
7,推,M.1529466409.A.98B,BabyMother,我10週時去訂做的，店員幫我找可以改哺乳、且可放,06/20 12:01,jjj1773
8,→,M.1529466409.A.98B,BabyMother,水餃墊的款式，被扣本身還有3寸可以增加，不夠還有,06/20 12:01,jjj1773
9,→,M.1529466409.A.98B,BabyMother,延長被扣。當時下圍長一寸、上圍大一杯，但身型差,06/20 12:02,jjj1773
10,→,M.1529466409.A.98B,BabyMother,很多所以原本的完全穿不上@@,06/20 12:02,jjj1773
11,推,M.1529466409.A.98B,BabyMother,補充我下圍不到65，去哪買都要等修改所以訂做（還在,06/20 12:05,jjj1773
12,→,M.1529466409.A.98B,BabyMother,等好崩潰），一般選直接可穿的比較能即時解決不適,06/20 12:05,jjj1773
13,→,M.1529466409.A.98B,BabyMother,喔！,06/20 12:05,jjj1773
14,推,M.1529466409.A.98B,BabyMother,我沒重買 直接用背扣就穿到生 生完才買新的,06/20 12:05,butkam
15,推,M.1529466409.A.98B,BabyMother,買大件的運動背心內衣，穿到生，哺乳期也可以用,06/20 12:06,dir2007
16,→,M.1529466409.A.98B,BabyMother,然後很便宜，停餵母乳後就淘汰吧,06/20 12:06,dir2007
17,推,M.1529466409.A.98B,BabyMother,要餵母乳根本就不可能穿有鋼圈的內衣，除非你一開始,06/20 12:13,monicae
18,→,M.1529466409.A.98B,BabyMother,就打定主意不餵,06/20 12:13,monicae
19,推,M.1529466409.A.98B,BabyMother,我直接用延長背扣，到後期才換成哺乳內衣哦,06/20 12:13,r125672000
20,推,M.1529466409.A.98B,BabyMother,初期就買了媽媽餵，越洗越鬆剛好配合脹奶和變胖哈,06/20 12:13,weiweiyu
21,→,M.1529466409.A.98B,BabyMother,哈,06/20 12:13,weiweiyu
22,推,M.1529466409.A.98B,BabyMother,差不多13-14週就去買了媽媽喂，覺得是個好決定XD,06/20 12:15,inf0316
23,推,M.1529466409.A.98B,BabyMother,我覺得只要餵母乳，很難不走山，不如選舒服的，推,06/20 12:23,murmured
24,→,M.1529466409.A.98B,BabyMother,媽媽餵！！,06/20 12:23,murmured
25,推,M.1529466409.A.98B,BabyMother,uq買一買就好了~ 另外 走山跟哺乳退奶有關阿 哈哈,06/20 12:27,rainbow624
26,→,M.1529466409.A.98B,BabyMother,已放棄的媽媽路過...,06/20 12:27,rainbow624
27,推,M.1529466409.A.98B,BabyMother,推媽媽餵，孕初期就換了，到現在33週都好穿,06/20 12:28,komb1985
28,→,M.1529466409.A.98B,BabyMother,懷孕跟走不走山沒關係,06/20 12:29,rainbow624
29,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,101.13.133.66 06/09 14:59,tsunana2727
30,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,223.140.188.211 06/09 15:13,Ruhe
31,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購!,140.115.151.223 06/09 15:37,cilia0110
32,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,180.217.147.73 06/09 15:47,cutie0376
33,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,42.73.148.128 06/09 16:03,singmei
34,推,M.1528525172.A.8EF,BuyTogether,已填g單，謝謝主購,27.52.167.189 06/09 16:09,mokui
35,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,1.171.7.194 06/09 16:30,coreia
36,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,114.34.57.47 06/09 16:35,nmQwQ
37,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,223.141.103.223 06/09 16:55,tsaikate
38,推,M.1528525172.A.8EF,BuyTogether,已填G單 感謝主購,49.218.2.206 06/09 17:00,tutu
39,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,115.82.210.247 06/09 18:03,iKoz
40,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購。,223.140.199.47 06/09 18:04,chiahsuan14
41,推,M.1528525172.A.8EF,BuyTogether,已填g單，謝謝主購,223.140.221.18 06/09 18:33,eqq78910
42,推,M.1528525172.A.8EF,BuyTogether,已填g單，謝謝主購！,61.231.180.93 06/09 19:15,piano
43,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,101.13.37.73 06/09 19:21,maltsugar
44,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購~,223.136.65.73 06/09 19:26,Pite
45,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,1.164.197.98 06/09 19:34,fangrabbit
46,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購:),123.193.25.169 06/09 19:44,ct35
47,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購！,1.171.79.51 06/09 19:45,sshhhhss
48,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,223.137.61.195 06/09 19:51,bigccc320
49,推,M.1528525172.A.8EF,BuyTogether,+1,101.138.76.144 06/09 21:24,amyhlps
50,→,M.1528525172.A.8EF,BuyTogether,抱歉回錯篇,101.138.76.144 06/09 21:25,amyhlps
51,推,M.1528525172.A.8EF,BuyTogether,已填G單 謝謝主購,61.230.13.235 06/09 21:30,xuli
52,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,118.167.31.250 06/09 21:41,ping82
53,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購！,1.165.190.78 06/09 22:06,irel
54,推,M.1528525172.A.8EF,BuyTogether,已填g單，謝謝主購,39.8.41.244 06/09 22:09,zenobia720
55,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購！^^,36.230.205.19 06/10 00:05,happywiz
56,推,M.1528525172.A.8EF,BuyTogether,已填G單謝謝主購！,180.217.161.114 06/10 00:11,jamie0719
57,推,M.1528525172.A.8EF,BuyTogether,已填g單謝謝主購,223.139.200.233 06/10 02:19,closeyou
58,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,1.34.222.1 06/10 06:27,savrin
59,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,123.193.5.221 06/10 09:17,toonoisy
60,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,39.9.126.62 06/10 10:38,vinvo
61,推,M.1528525172.A.8EF,BuyTogether,已填g單謝謝主購,27.52.98.157 06/10 14:23,katsu1012
62,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購!,42.76.74.57 06/10 18:18,iuweare
63,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,49.159.205.248 06/10 22:02,bluevul12l
64,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,42.73.251.245 06/11 05:35,lilinana
65,推,M.1528525172.A.8EF,BuyTogether,已填G單，謝謝主購,110.28.225.242 06/11 11:49,kitty553124
66,推,M.1528525172.A.8EF,BuyTogether,已填g單，謝謝主購,1.163.105.191 06/11 19:38,hffff
67,推,M.1528123139.A.78D,BuyTogether,已填G單 謝謝主購,111.82.249.105 06/04 22:51,zongzong626
68,推,M.1528123139.A.78D,BuyTogether,借文徵中和/板橋地方團,36.224.31.48 06/04 23:13,chiu0728
69,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,42.76.17.95 06/04 23:16,bella0928
70,推,M.1528123139.A.78D,BuyTogether,已填G單，感謝主購！,220.134.57.176 06/04 23:20,ppyyppy4477
71,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,42.73.194.224 06/04 23:26,Mippisunmoon
72,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,39.9.9.140 06/04 23:29,ssso
73,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,110.50.145.78 06/04 23:32,Lcc2013
74,推,M.1528123139.A.78D,BuyTogether,借文徵PC地方團,111.242.60.185 06/04 23:46,m06qo4h6
75,推,M.1528123139.A.78D,BuyTogether,已填g單，謝謝主購,49.218.34.69 06/04 23:55,collet
76,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,36.238.223.112 06/04 23:57,k120
77,推,M.1528123139.A.78D,BuyTogether,已填g單，謝謝主購,223.138.249.220 06/05 00:07,sthts
78,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,114.136.186.250 06/05 00:10,NTY
79,推,M.1528123139.A.78D,BuyTogether,已填G單 謝謝主購,59.105.105.42 06/05 00:16,allurew
80,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購！,114.137.66.23 06/05 00:26,jhyfish
81,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,114.136.90.116 06/05 00:29,Ks950120
82,推,M.1528123139.A.78D,BuyTogether,地方PC團已經填單，感謝主購,111.242.60.185 06/05 00:55,m06qo4h6
83,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,101.138.141.243 06/05 01:50,JUI67
84,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,1.162.36.12 06/05 05:02,H2C2O4
85,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,182.235.143.237 06/05 05:40,functionXD
86,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,114.136.246.105 06/05 06:07,wu1229
87,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,111.250.129.155 06/05 06:41,acha3620
88,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,180.217.168.128 06/05 07:05,tzengyifen
89,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,180.217.164.84 06/05 08:17,asforme
90,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,42.76.223.225 06/05 08:36,pankrain
91,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,101.13.195.83 06/05 08:56,gwing2
92,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,210.240.124.112 06/05 10:44,verahuang
93,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購！,27.242.104.130 06/05 11:03,b91211
94,推,M.1528123139.A.78D,BuyTogether,已填g單，謝謝主購！,111.82.53.141 06/05 11:32,cherryhigh
95,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購：）,223.138.167.188 06/05 11:34,memorydance
96,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購～,218.173.58.109 06/05 12:45,s19901007
97,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購,220.133.78.6 06/05 13:03,MissRe
98,推,M.1528123139.A.78D,BuyTogether,已填g單 謝謝~,58.114.164.212 06/05 14:08,honobono
99,推,M.1528123139.A.78D,BuyTogether,已填g單，謝謝主購：）,115.165.244.8 06/05 14:24,as790629
100,推,M.1528123139.A.78D,BuyTogether,已填G單，謝謝主購 (希望有趕上@@),59.124.200.187 06/05 15:12,coes
101,推,M.1528123139.A.78D,BuyTogether,已填g單，謝謝主購！,223.139.171.159 06/05 18:08,ooxxing
102,→,M.1528123139.A.78D,BuyTogether,6/6下標/匯率4.71/共38單*5=190雜費,114.36.11.235 06/07 20:37,criteria
103,推,M.1528125387.A.384,BuyTogether,已填G單 謝謝主購,111.82.249.105 06/04 22:51,zongzong626
104,推,M.1528125387.A.384,BuyTogether,借文徵中和/板橋地方團,36.224.31.48 06/04 23:13,chiu0728
105,推,M.1528125387.A.384,BuyTogether,已回白單，謝謝主購,223.137.72.251 06/05 07:46,tasya
106,推,M.1528127456.A.FBC,BuyTogether,已填G單 謝謝主購,111.82.249.105 06/04 22:51,zongzong626
107,推,M.1528127456.A.FBC,BuyTogether,借文徵中和/板橋地方團,36.224.31.48 06/04 23:13,chiu0728
108,推,M.1528127456.A.FBC,BuyTogether,已填G單，謝謝主購,42.76.17.95 06/04 23:16,bella0928
109,推,M.1528127456.A.FBC,BuyTogether,已填G單，感謝主購！,220.134.57.176 06/04 23:20,ppyyppy4477
110,推,M.1528127456.A.FBC,BuyTogether,已填G單，謝謝主購,42.73.194.224 06/04 23:26,Mippisunmoon
111,推,M.1528127456.A.FBC,BuyTogether,已填G單，謝謝主購,39.9.9.140 06/04 23:29,ssso
112,推,M.1528127456.A.FBC,BuyTogether,已填G單，謝謝主購,110.50.145.78 06/04 23:32,Lcc2013
113,推,M.1528127456.A.FBC,BuyTogether,借文徵PC地方團,111.242.60.185 06/04 23:46,m06qo4h6
114,推,M.1528127456.A.FBC,BuyTogether,已回白單，謝謝主購,218.166.178.138 06/05 00:00,chiaochan
115,推,M.1528127456.A.FBC,BuyTogether,已回白單，謝謝主購,123.110.90.253 06/05 00:01,qqqqqpudding
116,推,M.1527954230.A.6E6,BuyTogether,# 請補預計截止時間,36.226.108.188 06/02 23:46,cutejoanna
117,推,M.1527954230.A.6E6,BuyTogether,# 徵求時間請縮短為3-5天,36.226.108.188 06/03 00:21,cutejoanna
118,推,M.1527954230.A.6E6,BuyTogether,已填g單 謝謝主購,118.150.217.162 06/04 01:20,eife5823
119,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,111.71.2.33 05/31 16:20,woota
120,推,M.1527753744.A.B1B,BuyTogether,已填單謝謝主購,115.82.64.117 05/31 16:24,hb2141994
121,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,36.225.13.135 05/31 16:24,YNNHOJ000
122,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購!,61.220.75.127 05/31 16:28,isyen
123,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,223.138.55.137 05/31 16:29,sunnyjane
124,→,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,223.138.55.137 05/31 16:29,sunnyjane
125,推,M.1527753744.A.B1B,BuyTogether,"已填G單,謝謝主購",118.163.2.205 05/31 16:36,applehead
126,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購。,203.67.127.88 05/31 16:47,charlotte584
127,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,36.226.163.2 05/31 16:54,yipingpu
128,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,36.231.174.236 05/31 17:10,sister711
129,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購！,114.136.180.94 05/31 17:21,shewaspretty
130,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購 ：）,220.141.21.223 05/31 17:39,paj
131,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,140.128.156.248 05/31 17:45,a9979655
132,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,223.138.93.239 05/31 17:47,l910065
133,推,M.1527753744.A.B1B,BuyTogether,已填g單謝謝主購,39.12.201.184 05/31 18:13,kid7198
134,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,111.71.119.111 05/31 18:24,ryocha1988
135,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,59.126.56.135 05/31 18:35,elinsoluck
136,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,180.218.27.119 05/31 18:43,piyo918010
137,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購,114.34.30.181 05/31 19:06,heyouu
138,推,M.1527753744.A.B1B,BuyTogether,已填G單，謝謝主購!,42.73.4.46 05/31 19:12,katherinkoko
