sno,sna,sarea,mday,ar,sareaen,snaen,aren,act,srcUpdateTime,updateTime,infoTime,infoDate,total,available_rent_bikes,latitude,longitude,available_return_bikes
500101001,YouBike2.0_??????剜????剜???,2024/12/10 12:24,?箸??謅??哨??35?賹?,Daan Dist.,YouBike2.0_MRT Technology Bldg. Sta.,No.235??Sec. 2??Fuxing S. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,28,4,25.02605,121.5436,24,
500101002,YouBike2.0_?箸??謅??哨??73?賹?,?剜???,2024/12/10 12:24,?箸??謅??哨??73?賹迤??Daan Dist.,YouBike2.0_No.273??Sec. 2??Fuxing S. Rd.,No.273??Sec. 2??Fuxing S. Rd. (West),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,21,2,25.02565,121.54357,19,
500101003,YouBike2.0_????謕?????????,?剜???,2024/12/10 12:22,??箏??璇舀??哨??6????Daan Dist.,YouBike2.0_NTUE Experiment Elementary School (East),No. 7??Ln. 96??Sec. 2??Heping E. Rd,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,16,2,25.02429,121.54124,14,
500101004,YouBike2.0_??箏???????,?剜???,2024/12/10 12:24,??箏??璇舀??哨??18??3??Daan Dist.,YouBike2.0_Heping Park (East),No. 33??Ln. 118??Sec. 2??Heping E. Rd,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,11,8,25.02351,121.54282,3,
500101005,YouBike2.0_憸船?瞍豢????舫頦????剜???,2024/12/10 12:21,?箸??謅??哨??68??Daan Dist.,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),No. 368??Sec. 2??Fuxing S. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:21,2024/12/10,16,4,25.02153,121.54299,12,,
500101006,YouBike2.0_?箸??謅??哨??80?賹?,?剜???,2024/12/10 12:24,?箸??謅??哨??80??Daan Dist.,YouBike2.0_No. 280??Sec. 2??Fuxing S. Rd.,No. 280??Sec. 2??Fuxing S. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,27,2,25.02429,121.54328,25,
500101007,YouBike2.0_?箸??謅??哨??40?????剜???,2024/12/10 12:22,?箸??謅??哨??42??Daan Dist.,YouBike2.0_Ln. 340??Sec. 2??Fuxing S. Rd.,No. 342??Sec. 2??Fuxing S. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,11,0,25.02253,121.54326,11,,
500101008,YouBike2.0_????謅????2?賹?,?剜???,2024/12/10 12:19,????謅????2??Daan Dist.,YouBike2.0_No. 52??Sec. 3??Xinsheng S. Rd.,No. 52??Sec. 3??Xinsheng S. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:19,2024/12/10,17,2,25.02112,121.53407,15,
500101009,YouBike2.0_????謅????6?賹?,?剜???,2024/12/10 12:24,????謅????6?賹???Daan Dist.,YouBike2.0_No. 66??Sec. 3??Xinsheng S. Rd.,No. 66??Sec. 3??Xinsheng S. Rd. (East),1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,16,12,25.01976,121.53384,4,
500101010,YouBike2.0_????謅????2?賹?,?剜???,2024/12/10 12:23,????謅????2??Daan Dist.,YouBike2.0_No. 82??Sec. 3??Xinsheng S. Rd.,No. 82??Sec. 3??Xinsheng S. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,20,3,25.01894,121.53361,17,
500101012,YouBike2.0_憸船?瞍賊?????0?賹?,?剜???,2024/12/10 12:24,憸船?瞍賊?????0??Daan Dist.,YouBike2.0_No. 30??Sec. 1??Xinhai Rd.,No. 30??Sec. 1??Xinhai Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:24,2024/12/10,8,1,25.01986,121.52982,7,
500101013,YouBike2.0_??箏??箸???舫頦????剜???,2024/12/10 12:22,?箸??謅??哨??36??Daan Dist.,YouBike2.0_Heping Fuxing Rd. Intersection (Northwest),No. 236??Sec. 2??Fuxing S. Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,9,5,25.02543,121.54332,4,,
500101014,YouBike2.0_?ｇ謘?湔????11?賹?,?剜???,2024/12/10 12:23,?ｇ謘?湔????11??Daan Dist.,YouBike2.0_No. 311??Sec. 3??Roosevelt Rd.,No. 311??Sec. 3??Roosevelt Rd.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:23,2024/12/10,11,5,25.01717,121.53202,6,
500101015,YouBike2.0_?剜????????謚????剜???,2024/12/10 12:22,?銵???6??8??Daan Dist.,YouBike2.0_Taipei Da-an Sports Center Parking lot,No. 28??Ln. 76??Dunnan St.,1,2024/12/10 12:24,2024/12/10 12:24,2024/12/10 12:22,2024/12/10,14,6,25.020348,121.546446,8,,
